21-1 C400,Time,Open,High,Low,Last,Change,Volume,Open Int,IV,Delta,Gamma,Theta,Vega,Rho,Theo,Price,Strike
21-1 C400,12/20/2021,54.5,56.1,53.92,55.66,-6.98,241,1268,38.47%,0.8821164477869,0.0038343372120104,-0.14979793827807,0.26455599222744,0.2132776621977,57.800014730595,454.98,400
21-1 C400,12/17/2021,63.44,64.5,59.85,62.64,-4.43,107,1226,37.21%,0.89765283237313,0.0033938839278718,-0.12536135652194,0.25229460559884,0.22800583110438,62.2499999999,459.87,400
21-1 C400,12/16/2021,71.31,71.97,65.45,67.07,-3.59,1183,17098,30.30%,0.95443981328555,0.0022023477576163,-0.050825527160785,0.13756763745601,0.1902754860339,67.069999999963,466.45,400
21-1 C400,12/15/2021,62.53,70.66,61.4,70.66,9.16,47,17094,25.21%,0.98791478436983,0.00085564977454295,-0.011631727946952,0.043665061621414,0.087801709014457,70.660002731814,470.6,400
21-1 C400,12/14/2021,64.08,64.08,61.3,61.5,-5.25,26,17104,23.68%,0.98307083015763,0.0012218935913603,-0.014602922264155,0.058853780762253,0.10525273808071,63.460004172293,463.36,400
21-1 C400,12/13/2021,69.97,69.97,66.75,66.75,-3.96,121,17152,28.54%,0.95833767667718,0.0020947933998471,-0.041887011473471,0.13271878896383,0.19442830042256,67.08500831283,466.57,400
21-1 C400,12/10/2021,69.84,70.78,68.1,70.71,3.08,97,17152,27.62%,0.96720380528308,0.0017087297171787,-0.031278095921125,0.11331791417094,0.18541538793215,71.095008433516,470.74,400
21-1 C400,12/09/2021,69.23,69.24,66.93,67.63,-1.75,60,17142,27.44%,0.95709693603394,0.0021275752834978,-0.038938663491929,0.14221188640812,0.20706759862321,66.885008134496,466.35,400
21-1 C400,12/08/2021,69.18,69.38,67.75,69.38,1.57,316,17153,27.55%,0.961813998354,0.0018959130506708,-0.034979797226048,0.13135672490923,0.20270800575872,69.980008590197,469.52,400
21-1 C400,12/07/2021,65.84,69.75,65.84,67.81,6.41,144,17154,32.04%,0.92886149105246,0.0026184700595482,-0.070346028263341,0.2203482036825,0.26635436256583,69.649999999996,468.28,400
21-1 C400,12/06/2021,58.8,62.65,58.8,61.4,3.96,19,17169,33.21%,0.88899731601454,0.0035307267333153,-0.10136942692633,0.30544299491026,0.29440773285927,61.400015833149,458.79,400
21-1 C400,12/03/2021,61.62,61.62,54.5,57.44,-3.44,138,17183,32.27%,0.86798005136879,0.0040215489791494,-0.10728715653173,0.35225497573996,0.31324437443914,56.690021183668,453.42,400
21-1 C400,12/02/2021,56.12,61.21,56.12,60.88,3.87,15,17184,31.22%,0.88823890594056,0.006648714952616,-0.090981661983847,0.31890782013564,0.32003655311049,59.93999999996,457.4,400
21-1 C400,12/01/2021,62.47,66,57.01,57.01,-2,60,17198,34.20%,0.83839952121223,0.0042744072618481,-0.12884886017189,0.40974769032756,0.33265784115212,55.190025478193,450.5,400
21-1 C400,11/30/2021,64.22,65.5,58.7,59.01,-7.64,102,17238,36.18%,0.84501547361391,0.0038495987265619,-0.13287188464708,0.4068967309756,0.33740653699559,60.385027210338,455.56,400
21-1 C400,11/29/2021,65.4,67.83,64.9,66.65,4.92,15,17230,31.14%,0.90802788583685,0.0030298719190616,-0.07688543990149,0.28807753054918,0.31458259609384,66.650020195028,464.6,400
21-1 C400,11/26/2021,66.13,66.13,61.73,61.73,-8.68,100,17230,30.71%,0.88526308794939,0.0035413025246469,-0.086601537042493,0.34490191741722,0.35785433029543,61.730022132645,458.97,400
21-1 C400,11/24/2021,68.63,70.41,68.63,70.41,1.21,19,17230,28.71%,0.92911398440315,0.0025691708775897,-0.053958209719475,0.24924423204221,0.33483737027495,70.755016516002,469.44,400
21-1 C400,11/23/2021,68.23,69.45,67.11,69.2,-3.96,229,17212,26.85%,0.93818052213393,0.0039596913223601,-0.044083822339902,0.22400922048524,0.30804811400133,69.200020708061,468.19,400
21-1 C400,11/22/2021,72.5,74.5,70.86,73.16,2.76,40,17221,29.74%,0.91348594862936,0.0028356171406229,-0.065297121936444,0.29437783863757,0.3563701925073,69.450023291652,467.57,400
21-1 C400,11/19/2021,70.9,72,70.4,70.4,-1.06,5,17219,28.18%,0.92289833810801,0.0026759946548321,-0.054389453694851,0.27687998958304,0.37127015417582,70.399999999937,468.89,400
21-1 C400,11/18/2021,68.85,71.46,68.85,71.46,1.45,10,17221,29.07%,0.91765321758591,0.0026995237299608,-0.058828356721552,0.29395226937936,0.3775249114805,71.460022382108,469.73,400
21-1 C400,11/17/2021,69.59,70.01,69.38,70.01,-0.88,45,17223,28.89%,0.91295694150986,0.0028181483431338,-0.060499634288319,0.30786238283767,0.38350249316939,70.010029580213,468.14,400
21-1 C400,11/16/2021,69.59,71.66,69.59,70.89,2.23,34,17238,27.35%,0.92617024396455,0.0038525568115666,-0.04915875949055,0.27340234175386,0.37002086372695,70.664999999953,469.28,400
21-1 C400,11/15/2021,69.93,69.93,68.55,68.66,-0.39,12,17234,27.93%,0.91458366625792,0.0028384222687922,-0.056160263213201,0.30758600105033,0.39545186183432,69.180019181496,467.43,400
21-1 C400,11/12/2021,67.71,69.07,67.71,69.05,2.87,22,17232,27.45%,0.91315709588419,0.0028622069239204,-0.054414275224092,0.31808604051239,0.4132757827809,69.050021337546,467.27,400
21-1 C400,11/11/2021,66.92,66.95,65.99,66.18,0.38000000000001,40,17232,28.15%,0.89593630137818,0.0031824774939187,-0.064144150887497,0.36382204332643,0.42130524609737,66.180026507449,463.77,400
21-1 C400,11/10/2021,68.87,68.87,64.61,65.8,-2.58,16,17226,27.31%,0.9003956520316,0.0031609502792422,-0.059255657946819,0.35451920187675,0.42461453908516,65.800025526872,463.62,400
